Question,Mean ,Median,Standard Deviation,Variance,Max Score
1       ,6.717,7.0   ,2.89              ,8.355   ,10
2       ,0.88 ,1.0   ,0.614             ,0.377   ,2
3       ,3.109,4.0   ,1.137             ,1.293   ,4
4       ,1.103,0.0   ,1.404             ,1.97    ,4
5       ,3.283,3.0   ,2.681             ,7.186   ,10
6       ,1.978,0.75  ,2.689             ,7.233   ,10
7       ,2.913,3.0   ,1.371             ,1.878   ,5
8       ,1.391,1.0   ,1.283             ,1.646   ,5
9       ,2.31 ,2.5   ,1.755             ,3.081   ,5
10      ,2.696,2.5   ,1.523             ,2.32    ,5
11      ,2.348,2.25  ,1.996             ,3.982   ,5
12      ,1.636,2.0   ,1.024             ,1.049   ,5
13      ,1.185,1.0   ,1.39              ,1.933   ,5
14      ,0.799,0.0   ,1.363             ,1.859   ,5
