Name,Score,Mean,Median,Standard Deviation,Variance
SM-90-06,9.0,0.5,0.0,1.052,1.107
SM-25-05,14.0,0.571,0.25,1.015,1.031
SM-80-05,15.0,0.929,0.25,1.266,1.602
SM-25-09,16.5,0.964,0.5,1.302,1.695
SM-75-01,16.5,1.036,0.25,1.288,1.659
SM-40-02,17.0,1.071,0.5,1.28,1.638
SM-90-10,18.0,1.071,1.0,1.163,1.352
SM-25-11,19.0,1.286,1.0,1.666,2.776
SM-25-04,19.5,0.964,0.75,1.157,1.338
SM-25-17,19.5,0.679,0.25,1.079,1.165
SM-80-15,19.5,1.036,1.0,1.141,1.302
SM-25-02,20.0,1.143,1.0,1.368,1.872
SM-90-14,21.0,1.143,1.0,1.407,1.98
SM-75-05,21.5,1.25,1.0,1.346,1.813
SM-25-06,21.5,0.821,0.5,1.096,1.2
SM-80-13,21.5,1.393,1.5,1.27,1.614
SM-80-09,22.0,0.857,0.75,0.854,0.73
SM-70-06,22.5,1.25,1.0,1.346,1.813
SM-75-06,23.0,1.214,1.0,1.161,1.347
SM-25-03,23.5,0.964,0.5,1.231,1.517
SM-70-02,23.5,1.107,1.0,1.339,1.792
SM-80-08,23.5,1.536,1.75,1.217,1.481
SM-90-11,24.0,1.571,0.5,2.227,4.959
6506,24.0,1.607,1.0,1.703,2.899
SM-90-04,25.0,1.643,1.0,1.586,2.515
SM-80-10,25.0,1.571,1.25,1.307,1.709
SM-90-09,25.0,1.571,1.5,1.635,2.673
SM-70-11,25.5,1.25,1.0,1.114,1.241
SM-10-01,26.0,1.143,1.0,1.505,2.265
SM-75-03,27.0,1.714,1.5,1.372,1.883
SM-90-05,27.0,1.571,1.5,1.237,1.531
SM-30-09,27.0,1.571,1.0,1.678,2.816
SM-25-10,27.5,1.25,1.25,0.901,0.813
SM-70-10,28.5,1.393,1.0,1.594,2.542
SM-80-07,28.5,1.893,2.0,1.183,1.399
SM-70-08,28.5,1.536,1.0,1.575,2.481
SM-70-12,28.5,1.321,1.0,1.643,2.7
SM-90-07,29.0,1.714,1.5,1.578,2.49
SM-25-16,29.5,1.679,1.0,1.924,3.7
6507,29.5,1.821,0.75,1.848,3.415
SM-80-04,30.0,1.714,1.75,1.644,2.704
SM-80-12,30.0,1.714,2.0,1.473,2.168
SM-80-02,30.0,1.571,2.0,1.28,1.638
SM-95-03,30.0,1.571,0.0,2.025,4.102
SM-90-12,30.0,2.0,1.5,1.512,2.286
SM-70-07,30.5,1.607,0.5,2.019,4.078
SM-80-01,30.5,1.893,2.0,1.775,3.149
SM-30-08,31.0,1.5,1.0,1.592,2.536
SM-25-14,31.5,1.536,1.0,1.42,2.017
SM-30-10,32.0,1.571,1.0,1.51,2.281
SM-95-02,32.0,1.929,2.0,1.387,1.923
6504,32.5,1.607,1.0,1.92,3.685
SM-80-11,32.5,1.75,1.75,1.84,3.384
Sm-30-03,33.0,1.643,1.0,1.586,2.515
SM-95-04,33.0,1.857,2.0,1.552,2.408
SM-70-09,33.5,1.679,1.5,1.507,2.272
SM-80-06,34.0,1.786,2.0,1.677,2.811
SM-70-05,35.0,1.786,0.75,2.102,4.418
SM-90-03,35.0,2.071,1.5,1.944,3.781
SM-35-02,35.5,2.25,1.5,2.274,5.17
SM-70-03,36.0,2.071,1.5,1.534,2.352
SM-20-03,36.5,1.964,2.5,1.342,1.802
SM-25-15,37.5,1.964,1.5,1.856,3.445
SM-30-04,37.5,2.179,1.5,2.032,4.129
SM-30-06,37.5,1.964,2.0,1.445,2.088
SM-80-03,38.5,2.179,2.0,1.686,2.843
SM-70-01,38.5,2.036,1.0,2.108,4.445
6503,39.5,2.25,2.75,1.79,3.205
6501,39.5,2.107,2.25,1.724,2.971
SM-85-01,40.0,2.143,2.0,1.922,3.694
SM-95-05,40.0,2.143,1.0,2.386,5.694
SM-30-01,41.0,2.429,2.0,2.025,4.102
SM-90-13,42.0,2.5,3.0,1.918,3.679
SM-40-01,43.0,2.571,3.0,2.227,4.959
SM-30-07,43.0,2.714,3.0,2.05,4.204
SM-90-01,43.0,2.786,3.5,2.177,4.74
SM-20-02,43.5,2.393,3.0,1.795,3.221
SM-95-06,45.0,2.643,2.0,2.635,6.944
SM-20-01,45.0,2.5,2.0,1.955,3.821
SM-30-05,46.0,2.571,3.5,1.917,3.673
SM-45-04,47.5,2.821,3.5,1.643,2.7
SM-45-05,49.0,2.929,2.5,2.313,5.352
6502,49.0,2.786,2.5,2.617,6.847
SM-90-08,49.0,3.143,2.5,2.531,6.408
6505,49.5,2.821,2.75,1.933,3.736
SM-30-02,51.0,2.929,3.0,2.397,5.745
SM-95-07,53.0,3.071,4.0,1.71,2.923
SM-45-03,53.0,3.214,3.0,2.144,4.597
SM-45-01,55.5,3.607,3.75,2.579,6.649
SM-90-02,56.0,3.786,4.0,2.623,6.883
SM-45-02,56.5,3.464,3.75,2.553,6.517
